"","competitor number of customers","number of customers","competitor potential customers","potential customers","competitor innovation","innovation","competitor organic growth","organic growth","competitor flowers replacability","flowers replacability","competitor returns to scale","returns to scale","competitor capital investment","capital investment","competitor days to plant maturity","days to plant maturity","competitor floriculturist innovation","floriculturist innovation","fitness","competitor advantage in customers","competitor advantage in potential customers","competitor advantage in innovation","competitor advantage in organic growth","competitor advantage in flowers replacability","competitor advantage in returns to scale","competitor advantage in capital investment","competitor advantage in days to plant maturity","competitor advantage in floriculturist innovation"
"3031","3-Medium","3-Medium","3-Medium","4-High","1-Very Low","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","2-Low","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","5-Very High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium"
"3032","2-Low","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","2-Low","3-Medium","2-Low","4-High","3-Medium","1-Very Low","1-Very Low","2-Low","2-Low","4-High","1-Very Low","3-Medium","2-Low","4-High","3-Medium","4-High","3-Medium"
"3033","2-Low","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","1-Very Low","2-Low","4-High","4-High","3-Medium","4-High","2-Low","3-Medium","3-Medium","3-Medium","2-Low","2-Low","4-High","3-Medium","3-Medium","2-Low","2-Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium"
"3034","3-Medium","2-Low","3-Medium","3-Medium","1-Very Low","1-Very Low","2-Low","2-Low","1-Very Low","4-High","4-High","3-Medium","3-Medium","2-Low","3-Medium","4-High","2-Low","2-Low","2-Low","4-High","3-Medium","2-Low","2-Low","2-Low","4-High","3-Medium","3-Medium","3-Medium"
"3035","2-Low","4-High","4-High","3-Medium","2-Low","2-Low","3-Medium","3-Medium","4-High","4-High","2-Low","3-Medium","4-High","3-Medium","2-Low","4-High","3-Medium","2-Low","4-High","1-Very Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","4-High","2-Low","4-High"
"3036","4-High","4-High","3-Medium","4-High","2-Low","2-Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","5-Very High","3-Medium","2-Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium"
"3037","3-Medium","4-High","3-Medium","4-High","3-Medium","1-Very Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High","3-Medium","2-Low","2-Low","5-Very High","2-Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","2-Low","3-Medium","3-Medium"
"3038","2-Low","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","2-Low","3-Medium","2-Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","2-Low","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","2-Low","3-Medium","2-Low","3-Medium","3-Medium","4-High"
"3039","4-High","3-Medium","1-Very Low","3-Medium","4-High","3-Medium","2-Low","1-Very Low","4-High","4-High","3-Medium","5-Very High","3-Medium","4-High","4-High","3-Medium","1-Very Low","1-Very Low","2-Low","4-High","2-Low","4-High","3-Medium","2-Low","2-Low","2-Low","4-High","3-Medium"
"3040","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","1-Very Low","4-High","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium","3-Medium","3-Medium","2-Low"
"3041","3-Medium","4-High","2-Low","3-Medium","4-High","2-Low","3-Medium","2-Low","2-Low","2-Low","3-Medium","3-Medium","4-High","2-Low","3-Medium","4-High","2-Low","2-Low","4-High","2-Low","2-Low","4-High","3-Medium","3-Medium","3-Medium","4-High","2-Low","3-Medium"
"3042","2-Low","4-High","3-Medium","2-Low","3-Medium","1-Very Low","2-Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","5-Very High","5-Very High","1-Very Low","1-Very Low","2-Low","2-Low","4-High","3-Medium","3-Medium","2-Low","3-Medium","2-Low","3-Medium","3-Medium"
"3043","4-High","3-Medium","3-Medium","2-Low","1-Very Low","1-Very Low","1-Very Low","1-Very Low","4-High","3-Medium","4-High","3-Medium","4-High","2-Low","4-High","5-Very High","1-Very Low","1-Very Low","4-High","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","4-High","4-High","2-Low","4-High"
"3044","2-Low","3-Medium","1-Very Low","3-Medium","3-Medium","1-Very Low","2-Low","4-High","2-Low","4-High","3-Medium","4-High","4-High","3-Medium","4-High","3-Medium","1-Very Low","2-Low","3-Medium","2-Low","2-Low","3-Medium","2-Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low"
"3045","3-Medium","4-High","2-Low","3-Medium","2-Low","1-Very Low","1-Very Low","1-Very Low","2-Low","3-Medium","4-High","4-High","4-High","3-Medium","4-High","5-Very High","1-Very Low","4-High","3-Medium","2-Low","2-Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","2-Low","1-Very Low"
"3046","4-High","2-Low","4-High","4-High","3-Medium","1-Very Low","3-Medium","1-Very Low","2-Low","3-Medium","2-Low","3-Medium","3-Medium","4-High","3-Medium","4-High","1-Very Low","1-Very Low","1-Very Low","4-High","3-Medium","4-High","4-High","3-Medium","3-Medium","2-Low","3-Medium","3-Medium"
"3047","2-Low","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","2-Low","3-Medium","4-High","4-High","2-Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","2-Low","5-Very High","3-Medium","2-Low","4-High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High"
"3048","2-Low","3-Medium","3-Medium","2-Low","2-Low","2-Low","2-Low","1-Very Low","2-Low","4-High","1-Very Low","4-High","3-Medium","2-Low","2-Low","5-Very High","3-Medium","3-Medium","3-Medium","2-Low","4-High","2-Low","3-Medium","2-Low","1-Very Low","3-Medium","1-Very Low","3-Medium"
"3049","2-Low","3-Medium","4-High","2-Low","2-Low","1-Very Low","2-Low","1-Very Low","3-Medium","4-High","4-High","2-Low","3-Medium","3-Medium","5-Very High","5-Very High","1-Very Low","2-Low","4-High","2-Low","4-High","3-Medium","3-Medium","2-Low","5-Very High","3-Medium","3-Medium","2-Low"
"3050","3-Medium","4-High","4-High","2-Low","4-High","1-Very Low","2-Low","1-Very Low","2-Low","3-Medium","4-High","1-Very Low","3-Medium","2-Low","4-High","5-Very High","1-Very Low","2-Low","1-Very Low","3-Medium","4-High","4-High","3-Medium","2-Low","5-Very High","3-Medium","2-Low","3-Medium"
"3051","2-Low","4-High","2-Low","4-High","3-Medium","1-Very Low","2-Low","1-Very Low","4-High","3-Medium","4-High","3-Medium","2-Low","3-Medium","3-Medium","4-High","1-Very Low","2-Low","4-High","2-Low","2-Low","4-High","3-Medium","3-Medium","4-High","2-Low","2-Low","3-Medium"
"3052","2-Low","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","3-Medium","1-Very Low","3-Medium","4-High","2-Low","4-High","3-Medium","2-Low","4-High","5-Very High","2-Low","4-High","2-Low","2-Low","4-High","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","2-Low"
"3053","3-Medium","1-Very Low","2-Low","3-Medium","5-Very High","1-Very Low","3-Medium","2-Low","2-Low","3-Medium","3-Medium","1-Very Low","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","1-Very Low","2-Low","4-High","3-Medium","5-Very High","3-Medium","3-Medium","4-High","3-Medium","4-High","3-Medium"
"3054","2-Low","3-Medium","2-Low","4-High","1-Very Low","5-Very High","3-Medium","1-Very Low","3-Medium","2-Low","3-Medium","5-Very High","3-Medium","3-Medium","4-High","1-Very Low","3-Medium","4-High","5-Very High","3-Medium","2-Low","1-Very Low","4-High","4-High","2-Low","3-Medium","5-Very High","3-Medium"
"3055","2-Low","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","2-Low","1-Very Low","5-Very High","3-Medium","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","2-Low","5-Very High","2-Low","2-Low","4-High","3-Medium","4-High","2-Low","3-Medium","4-High","3-Medium"
"3056","2-Low","5-Very High","4-High","4-High","3-Medium","2-Low","2-Low","1-Very Low","3-Medium","4-High","2-Low","3-Medium","3-Medium","4-High","3-Medium","4-High","1-Very Low","1-Very Low","5-Very High","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","2-Low","4-High"
"3057","3-Medium","3-Medium","3-Medium","3-Medium","4-High","1-Very Low","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","2-Low","3-Medium","1-Very Low","5-Very High","3-Medium","2-Low","2-Low","4-High","3-Medium","3-Medium","4-High","2-Low","3-Medium","4-High","4-High","4-High","3-Medium"
"3058","4-High","4-High","3-Medium","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","2-Low","4-High","4-High","3-Medium","2-Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium"
"3059","4-High","3-Medium","4-High","3-Medium","4-High","2-Low","1-Very Low","1-Very Low","5-Very High","3-Medium","2-Low","5-Very High","3-Medium","3-Medium","5-Very High","5-Very High","2-Low","1-Very Low","3-Medium","4-High","3-Medium","4-High","3-Medium","4-High","1-Very Low","3-Medium","3-Medium","4-High"
"3060","4-High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","2-Low","4-High","5-Very High","1-Very Low","1-Very Low","2-Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium"
"3061","4-High","2-Low","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","2-Low","3-Medium","4-High","2-Low","3-Medium","4-High","2-Low","3-Medium","3-Medium","1-Very Low","1-Very Low","2-Low","4-High","3-Medium","4-High","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium"
"3062","4-High","2-Low","3-Medium","4-High","4-High","2-Low","1-Very Low","2-Low","3-Medium","2-Low","2-Low","3-Medium","3-Medium","4-High","4-High","4-High","2-Low","1-Very Low","2-Low","4-High","3-Medium","4-High","2-Low","3-Medium","3-Medium","2-Low","3-Medium","4-High"
"3063","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","2-Low","4-High","3-Medium","3-Medium","5-Very High","3-Medium","1-Very Low","1-Very Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","2-Low","3-Medium","4-High","3-Medium"
"3064","4-High","3-Medium","2-Low","2-Low","3-Medium","2-Low","3-Medium","1-Very Low","2-Low","4-High","3-Medium","4-High","2-Low","4-High","4-High","4-High","1-Very Low","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","2-Low","2-Low","3-Medium","3-Medium"
"3065","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High","4-High","4-High","1-Very Low","1-Very Low","4-High","2-Low","2-Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium"
"3066","4-High","3-Medium","2-Low","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","4-High","3-Medium","3-Medium","4-High","2-Low","3-Medium","4-High","3-Medium","1-Very Low","4-High","4-High","4-High","3-Medium","3-Medium","3-Medium","4-High","2-Low","2-Low","4-High","1-Very Low"
"3067","3-Medium","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","1-Very Low","4-High","3-Medium","4-High","3-Medium","4-High","3-Medium","4-High","4-High","1-Very Low","2-Low","3-Medium","2-Low","2-Low","4-High","3-Medium","4-High","4-High","4-High","3-Medium","2-Low"
"3068","4-High","4-High","3-Medium","4-High","1-Very Low","2-Low","2-Low","1-Very Low","4-High","4-High","4-High","2-Low","3-Medium","4-High","3-Medium","5-Very High","1-Very Low","1-Very Low","5-Very High","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","4-High","2-Low","2-Low","3-Medium"
"3069","4-High","2-Low","2-Low","3-Medium","3-Medium","1-Very Low","3-Medium","1-Very Low","4-High","4-High","3-Medium","2-Low","3-Medium","4-High","5-Very High","4-High","1-Very Low","1-Very Low","2-Low","4-High","3-Medium","3-Medium","4-High","3-Medium","3-Medium","2-Low","4-High","3-Medium"
"3070","3-Medium","2-Low","4-High","5-Very High","3-Medium","2-Low","4-High","1-Very Low","2-Low","4-High","3-Medium","4-High","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","1-Very Low","3-Medium","2-Low","3-Medium","4-High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium"
"3071","2-Low","3-Medium","4-High","3-Medium","2-Low","1-Very Low","1-Very Low","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","5-Very High","4-High","1-Very Low","1-Very Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","4-High","3-Medium"
"3072","4-High","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","2-Low","4-High","3-Medium","3-Medium","2-Low","3-Medium","4-High","4-High","3-Medium","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","2-Low","4-High","3-Medium"
"3073","3-Medium","4-High","2-Low","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","4-High","5-Very High","2-Low","3-Medium","4-High","2-Low","4-High","4-High","2-Low","2-Low","4-High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","4-High","3-Medium","4-High"
"3074","3-Medium","2-Low","2-Low","4-High","4-High","1-Very Low","2-Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","2-Low","1-Very Low","5-Very High","4-High","2-Low","4-High","2-Low","4-High","3-Medium","2-Low","4-High","4-High"
"3075","3-Medium","2-Low","2-Low","3-Medium","2-Low","1-Very Low","3-Medium","1-Very Low","3-Medium","4-High","3-Medium","4-High","3-Medium","2-Low","4-High","3-Medium","3-Medium","2-Low","4-High","3-Medium","2-Low","3-Medium","4-High","2-Low","3-Medium","3-Medium","3-Medium","4-High"
"3076","3-Medium","4-High","1-Very Low","4-High","3-Medium","2-Low","2-Low","1-Very Low","2-Low","4-High","3-Medium","2-Low","1-Very Low","3-Medium","4-High","5-Very High","3-Medium","2-Low","4-High","2-Low","1-Very Low","3-Medium","3-Medium","2-Low","4-High","2-Low","2-Low","3-Medium"
"3077","4-High","2-Low","3-Medium","3-Medium","4-High","2-Low","2-Low","1-Very Low","4-High","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","2-Low","4-High","3-Medium","4-High","3-Medium","3-Medium","4-High","3-Medium","3-Medium","2-Low"
"3078","2-Low","3-Medium","4-High","4-High","3-Medium","1-Very Low","1-Very Low","1-Very Low","3-Medium","3-Medium","4-High","3-Medium","2-Low","4-High","2-Low","4-High","2-Low","2-Low","5-Very High","3-Medium","3-Medium","4-High","2-Low","3-Medium","3-Medium","1-Very Low","1-Very Low","3-Medium"
"3079","3-Medium","3-Medium","4-High","3-Medium","3-Medium","1-Very Low","2-Low","1-Very Low","4-High","3-Medium","3-Medium","2-Low","2-Low","3-Medium","4-High","4-High","2-Low","1-Very Low","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","4-High","3-Medium","4-High","4-High"
"3080","2-Low","3-Medium","4-High","4-High","3-Medium","1-Very Low","2-Low","1-Very Low","3-Medium","4-High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","5-Very High","2-Low","3-Medium","4-High","3-Medium","3-Medium","2-Low","3-Medium","2-Low","4-High"
"3081","3-Medium","4-High","2-Low","3-Medium","2-Low","2-Low","3-Medium","2-Low","4-High","4-High","3-Medium","3-Medium","3-Medium","4-High","4-High","4-High","3-Medium","2-Low","4-High","2-Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High"
"3082","3-Medium","1-Very Low","2-Low","3-Medium","1-Very Low","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","5-Very High","2-Low","1-Very Low","2-Low","3-Medium","4-High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","4-High","5-Very High","3-Medium"
"3083","2-Low","3-Medium","2-Low","2-Low","4-High","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","4-High","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","5-Very High","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium"
"3084","4-High","3-Medium","2-Low","5-Very High","4-High","1-Very Low","2-Low","1-Very Low","4-High","3-Medium","3-Medium","1-Very Low","3-Medium","3-Medium","5-Very High","2-Low","1-Very Low","1-Very Low","5-Very High","3-Medium","1-Very Low","4-High","3-Medium","4-High","4-High","3-Medium","5-Very High","3-Medium"
"3085","3-Medium","4-High","3-Medium","3-Medium","4-High","2-Low","2-Low","1-Very Low","4-High","2-Low","3-Medium","3-Medium","2-Low","4-High","3-Medium","4-High","2-Low","1-Very Low","2-Low","2-Low","3-Medium","4-High","3-Medium","4-High","3-Medium","1-Very Low","3-Medium","4-High"
"3086","3-Medium","4-High","3-Medium","2-Low","2-Low","1-Very Low","1-Very Low","1-Very Low","3-Medium","3-Medium","3-Medium","2-Low","2-Low","2-Low","3-Medium","3-Medium","2-Low","2-Low","4-High","2-Low","3-Medium","3-Medium","2-Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium"
"3087","2-Low","2-Low","4-High","3-Medium","2-Low","2-Low","1-Very Low","2-Low","4-High","4-High","3-Medium","2-Low","4-High","3-Medium","4-High","3-Medium","1-Very Low","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","4-High","3-Medium","4-High","3-Medium"
"3088","2-Low","4-High","4-High","2-Low","2-Low","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","2-Low","4-High","4-High","3-Medium","5-Very High","4-High","2-Low","2-Low","3-Medium","2-Low","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","4-High","4-High","3-Medium"
"3089","2-Low","5-Very High","3-Medium","3-Medium","1-Very Low","2-Low","3-Medium","2-Low","1-Very Low","4-High","2-Low","3-Medium","3-Medium","4-High","4-High","2-Low","1-Very Low","1-Very Low","4-High","1-Very Low","3-Medium","2-Low","4-High","1-Very Low","2-Low","2-Low","4-High","3-Medium"
"3090","4-High","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","2-Low","2-Low","4-High","3-Medium","3-Medium","4-High","2-Low","3-Medium","2-Low","3-Medium","2-Low","1-Very Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","2-Low","2-Low","2-Low","4-High"
"3091","5-Very High","3-Medium","4-High","4-High","3-Medium","1-Very Low","3-Medium","4-High","4-High","5-Very High","5-Very High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","4-High","3-Medium","4-High","3-Medium","4-High","3-Medium","2-Low","4-High","3-Medium","3-Medium","1-Very Low"
"3092","4-High","3-Medium","4-High","3-Medium","2-Low","1-Very Low","3-Medium","2-Low","4-High","3-Medium","2-Low","4-High","3-Medium","3-Medium","4-High","4-High","2-Low","1-Very Low","1-Very Low","4-High","4-High","3-Medium","3-Medium","4-High","2-Low","3-Medium","2-Low","4-High"
"3093","3-Medium","3-Medium","4-High","3-Medium","4-High","1-Very Low","2-Low","1-Very Low","3-Medium","4-High","4-High","3-Medium","3-Medium","2-Low","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","4-High","4-High","3-Medium","2-Low","4-High","3-Medium","4-High","4-High"
"3094","3-Medium","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","1-Very Low","3-Medium","3-Medium","4-High","3-Medium","2-Low","3-Medium","4-High","3-Medium","1-Very Low","1-Very Low","4-High","2-Low","3-Medium","4-High","2-Low","3-Medium","4-High","2-Low","4-High","3-Medium"
"3095","3-Medium","2-Low","3-Medium","3-Medium","4-High","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","4-High","2-Low","2-Low","1-Very Low","2-Low","4-High","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High"
"3096","3-Medium","2-Low","3-Medium","2-Low","1-Very Low","1-Very Low","3-Medium","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","4-High","3-Medium","4-High","5-Very High","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","2-Low","3-Medium"
"3097","2-Low","3-Medium","4-High","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","2-Low","3-Medium","2-Low","3-Medium","2-Low","4-High","4-High","3-Medium","1-Very Low","3-Medium","4-High","2-Low","3-Medium","3-Medium","3-Medium","2-Low","2-Low","2-Low","4-High","2-Low"
"3098","3-Medium","2-Low","5-Very High","4-High","2-Low","1-Very Low","3-Medium","1-Very Low","3-Medium","4-High","4-High","5-Very High","3-Medium","3-Medium","5-Very High","4-High","1-Very Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","2-Low","3-Medium","4-High","3-Medium"
"3099","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","1-Very Low","3-Medium","1-Very Low","4-High","4-High","3-Medium","2-Low","2-Low","2-Low","5-Very High","4-High","1-Very Low","2-Low","2-Low","3-Medium","4-High","4-High","4-High","3-Medium","4-High","2-Low","4-High","3-Medium"
"3100","2-Low","2-Low","3-Medium","3-Medium","3-Medium","1-Very Low","4-High","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","4-High","3-Medium","4-High","1-Very Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","5-Very High","3-Medium","3-Medium","2-Low","2-Low","3-Medium"
"3101","2-Low","3-Medium","3-Medium","4-High","2-Low","2-Low","1-Very Low","1-Very Low","2-Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","4-High","1-Very Low","2-Low","4-High","2-Low","2-Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","2-Low","3-Medium"
"3102","3-Medium","4-High","3-Medium","2-Low","4-High","2-Low","2-Low","1-Very Low","4-High","5-Very High","3-Medium","3-Medium","2-Low","5-Very High","2-Low","3-Medium","3-Medium","1-Very Low","4-High","2-Low","3-Medium","4-High","3-Medium","2-Low","3-Medium","1-Very Low","2-Low","4-High"
"3103","3-Medium","3-Medium","4-High","4-High","3-Medium","1-Very Low","2-Low","1-Very Low","3-Medium","5-Very High","3-Medium","4-High","2-Low","3-Medium","4-High","4-High","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","4-High","3-Medium","2-Low","2-Low","2-Low","3-Medium","3-Medium"
"3104","3-Medium","2-Low","2-Low","3-Medium","5-Very High","1-Very Low","2-Low","2-Low","3-Medium","4-High","3-Medium","2-Low","4-High","4-High","3-Medium","2-Low","2-Low","2-Low","2-Low","4-High","3-Medium","5-Very High","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium"
"3105","3-Medium","3-Medium","5-Very High","1-Very Low","3-Medium","3-Medium","2-Low","2-Low","4-High","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","2-Low","3-Medium","5-Very High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium"
"3106","4-High","5-Very High","3-Medium","4-High","4-High","1-Very Low","1-Very Low","1-Very Low","3-Medium","5-Very High","1-Very Low","3-Medium","2-Low","2-Low","4-High","3-Medium","1-Very Low","1-Very Low","5-Very High","2-Low","3-Medium","4-High","2-Low","2-Low","2-Low","3-Medium","4-High","3-Medium"
"3107","4-High","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","3-Medium","1-Very Low","4-High","3-Medium","2-Low","2-Low","3-Medium","4-High","4-High","3-Medium","2-Low","2-Low","2-Low","4-High","2-Low","4-High","4-High","4-High","3-Medium","2-Low","4-High","3-Medium"
"3108","3-Medium","3-Medium","2-Low","3-Medium","2-Low","1-Very Low","1-Very Low","1-Very Low","4-High","5-Very High","4-High","3-Medium","3-Medium","3-Medium","5-Very High","4-High","2-Low","1-Very Low","3-Medium","2-Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium"
"3109","3-Medium","3-Medium","2-Low","3-Medium","1-Very Low","1-Very Low","4-High","3-Medium","4-High","4-High","3-Medium","3-Medium","2-Low","3-Medium","4-High","4-High","1-Very Low","2-Low","3-Medium","3-Medium","2-Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","2-Low"
"3110","2-Low","3-Medium","3-Medium","4-High","2-Low","1-Very Low","3-Medium","1-Very Low","2-Low","3-Medium","3-Medium","4-High","5-Very High","3-Medium","3-Medium","2-Low","1-Very Low","2-Low","5-Very High","2-Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High","3-Medium"
"3111","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","2-Low","4-High","3-Medium","1-Very Low","3-Medium","3-Medium","4-High","3-Medium","2-Low","1-Very Low","2-Low","2-Low","4-High","3-Medium","4-High","3-Medium","3-Medium","2-Low","2-Low","4-High","3-Medium"
"3112","3-Medium","2-Low","3-Medium","2-Low","3-Medium","1-Very Low","2-Low","1-Very Low","4-High","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","4-High","2-Low","1-Very Low","2-Low","3-Medium","4-High","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","4-High"
"3113","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","2-Low","1-Very Low","1-Very Low","4-High","2-Low","3-Medium","3-Medium","4-High","3-Medium","4-High","3-Medium","1-Very Low","2-Low","4-High","3-Medium","2-Low","3-Medium","1-Very Low","2-Low","2-Low","2-Low","4-High"
"3114","1-Very Low","2-Low","2-Low","4-High","4-High","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","5-Very High","2-Low","2-Low","3-Medium","4-High","4-High","1-Very Low","1-Very Low","4-High","2-Low","2-Low","4-High","3-Medium","4-High","5-Very High","3-Medium","3-Medium","3-Medium"
"3115","3-Medium","3-Medium","4-High","3-Medium","2-Low","3-Medium","3-Medium","1-Very Low","3-Medium","4-High","4-High","3-Medium","4-High","3-Medium","2-Low","4-High","5-Very High","1-Very Low","1-Very Low","3-Medium","4-High","2-Low","4-High","2-Low","3-Medium","3-Medium","2-Low","5-Very High"
"3116","3-Medium","3-Medium","3-Medium","4-High","2-Low","1-Very Low","2-Low","2-Low","3-Medium","5-Very High","3-Medium","2-Low","2-Low","3-Medium","4-High","3-Medium","2-Low","1-Very Low","5-Very High","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","4-High","2-Low","4-High","4-High"
"3117","3-Medium","2-Low","3-Medium","4-High","1-Very Low","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","2-Low","3-Medium","4-High","3-Medium","1-Very Low","1-Very Low","2-Low","4-High","3-Medium","2-Low","3-Medium","3-Medium","2-Low","2-Low","4-High","3-Medium"
